"Participant","Gender","Condition","Age","Rational_Cube","Rationale_Slot","Age_In_Months","VAR00006","Competent_Model","Cube_Tool","Cube_Method","Slot_Tool","Slot_Method","CompetenceBias","CopyModel","FirstTrial","SecondTrial","FirstTrialCount_NumberOfTimesImitatedAction","SecondTrialCount_NumberOfTimesImitatedAction","OverallCount","FirstTrial_OverImitationScore","SecondTrial_OverImitationScore","filter_$","SecondTrial_SimpleOverimitationScore","FirstTrial_SimpleOverimitationScore","FidelityIndex_Method","FidelityIndex_CompModel","ToolMatch_CompetentModel","ToolMatch_Method","CountMatch","MismatchOfTool","LastQuestionLastModel","CountmatchFirstTrial","CountMatchSecondTrial","OverImitationIndex_Method","OverImitationIndex_CompModel","Slot_CompBias","Slot_ToolMatch_CompModel","Slot_ToolMatch_Method","Slot_CountMatch","Slot_CountFreq","Slot_FidelityIndex","Slot_OverImitationIndex_Method","Cube_CompBias","Cube_ToolMatch_CompModel","Cube_ToolMatch_Method","Cube_CountMatch","Cube_CountFreq","Cube_FidelityIndex","Cube_OverImitationIndex","Cube_OverImitationIndex_Method","Cube_FidelityIndex_Method","OverImitationIndex","OverallToolMatch_CompBias","OverallToolMatch_Method","NewToolMatch","VAR00002","VAR00003","VAR00004","VAR00005","FirstTrial_LevelOfCopying","SecondTrial_LevelOfCopying","FirstTrial_copiers","SecondTrial_copiers","In_or_Efficient_copiers"
"446",2,4,6,4,4,80,6,2,NA,2,NA,1,2,1,1,1,2,3,5,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,3,2
"447",2,4,4,4,4,59,4,1,NA,2,NA,1,2,1,1,1,1,2,3,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,2,2
"448",1,4,6,4,3,77,6,2,NA,2,NA,2,1,0,1,0,3,4,7,NA,NA,1,NA,NA,NA,NA,NA,NA,0,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,2
"449",1,4,5,4,4,62,5,1,NA,1,NA,2,0,0,0,0,1,1,2,NA,NA,1,NA,NA,NA,NA,NA,NA,0,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1
"3310",1,3,5,4,4,72,5,2,NA,2,NA,1,2,1,1,1,2,4,6,NA,NA,0,NA,NA,NA,NA,NA,NA,1,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,3,2
"3311",2,3,4,4,4,59,4,1,NA,1,NA,2,2,1,1,1,2,4,6,NA,NA,0,NA,NA,NA,NA,NA,NA,1,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,3,2
"3312",1,3,6,1,1,72,6,2,NA,1,NA,2,2,1,1,1,3,2,5,NA,NA,0,NA,NA,NA,NA,NA,NA,1,NA,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,3,2,2
"3313",1,3,5,2,2,64,5,1,NA,2,NA,2,1,0,0,1,1,2,3,NA,NA,0,NA,NA,NA,NA,NA,NA,1,NA,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,2,2
"3314",2,3,5,4,4,67,5,2,NA,2,NA,1,2,1,1,1,2,3,5,NA,NA,0,NA,NA,NA,NA,NA,NA,1,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,3,2
"3315",2,3,6,2,2,76,6,1,NA,1,NA,1,1,0,1,0,3.5,1,4.5,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,3,1,2
"3316",2,3,4,4,4,57,4,2,NA,2,NA,2,1,0,1,0,1,2,3,NA,NA,0,NA,NA,NA,NA,NA,NA,1,NA,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,2,2
"3317",1,3,7,4,4,88,7,1,NA,1,NA,2,2,1,1,1,2,2,4,NA,NA,0,NA,NA,NA,NA,NA,NA,2,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2
"3318",2,3,4,2,2,58,4,2,NA,1,NA,2,2,1,1,1,3,2,5,NA,NA,0,NA,NA,NA,NA,NA,NA,1,NA,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,3,2,2
"4410",1,4,6,4,4,74,6,2,NA,2,NA,1,2,1,1,1,1,2,3,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,2,2
"4411",2,4,5,5,5,68,5,1,NA,1,NA,2,2,1,1,1,3,3.5,6.5,NA,NA,1,NA,NA,NA,NA,NA,NA,0,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,3,3,2
"4412",1,4,7,2,2,93,7,2,NA,1,NA,2,2,1,1,1,5,5,10,NA,NA,1,NA,NA,NA,NA,NA,NA,0,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,2
"4413",2,4,6,5,5,73,6,1,NA,2,NA,1,2,1,1,1,2,2,4,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2
"4414",2,4,5,4,4,65,5,2,NA,2,NA,1,2,1,1,1,1,2,3,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,2,2
"4415",2,4,6,4,4,84,6,1,NA,1,NA,2,2,1,1,1,3,2,5,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,3,2,2
"4416",2,4,7,4,4,86,7,2,NA,2,NA,2,1,0,1,0,2,3,5,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,3,2
"4417",2,4,6,5,5,81,6,1,NA,1,NA,1,1,0,1,0,3,2,5,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,3,2,2
"4418",2,4,5,5,5,64,5,2,NA,2,NA,2,1,0,1,0,3,5,8,NA,NA,1,NA,NA,NA,NA,NA,NA,0,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,2
"3319",2,3,7,1,4,92,7,1,NA,1,NA,1,1,0,1,0,2,2,4,NA,NA,0,NA,NA,NA,NA,NA,NA,2,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2
"3320",1,3,4,5,4,50,4,2,NA,1,NA,1,1,0,0,1,0.5,0.5,1,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1
"3321",2,3,6,2,2,72,6,2,NA,2,NA,2,1,0,1,0,2,1,3,NA,NA,0,NA,NA,NA,NA,NA,NA,1,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,1,2
"3322",2,3,7,3,3,92,7,1,NA,2,NA,1,2,1,1,1,2,5,7,NA,NA,0,NA,NA,NA,NA,NA,NA,1,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,3,2
"3323",2,3,5,5,5,63,5,1,NA,2,NA,1,2,1,1,1,5,2,7,NA,NA,0,NA,NA,NA,NA,NA,NA,1,NA,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,3,2,2
"3324",1,3,7,4,4,92,7,2,NA,2,NA,2,1,0,1,0,2,3,5,NA,NA,0,NA,NA,NA,NA,NA,NA,1,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,3,2
"4419",1,4,4,4,4,59,4,1,NA,2,NA,1,2,1,1,1,2,2,4,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2
"4420",1,4,5,1,4,69,5,2,NA,2,NA,2,1,0,1,0,1,1,2,NA,NA,1,NA,NA,NA,NA,NA,NA,0,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1
"4421",2,4,4,4,4,56,4,1,NA,1,NA,1,0,0,0,0,2,3,5,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,3,2
"4422",2,4,6,4,4,72,6,2,NA,2,NA,1,2,1,1,1,5,2,7,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,3,2,2
"4423",1,4,7,3,3,89,7,1,NA,2,NA,1,2,1,1,1,3,2,5,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,3,2,2
